restaurant_id,item_id,name,category,price,ingredients,is_vegetarian,spice_level
REST-AUH-001,ITEM-101,Samosa (2 pcs),Starter,18.14,"Potato, Peas, Spices, Pastry",True,Medium
REST-AUH-001,ITEM-102,Paneer Tikka,Starter,35.21,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-AUH-001,ITEM-103,Chicken 65,Starter,39.05,"Chicken, Curry Leaves, Spices",False,Hot
REST-AUH-001,ITEM-104,Aloo Tikki Chaat,Starter,21.98,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-AUH-001,ITEM-105,Chicken Seekh Kebab,Starter,42.3,"Minced Chicken, Spices, Onion",False,Medium
REST-AUH-001,ITEM-201,Paneer Butter Masala,Main Course,46.46,"Paneer, Tomato, Cream, Butter",True,Mild
REST-AUH-001,ITEM-202,Dal Makhani,Main Course,39.17,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-AUH-001,ITEM-203,Palak Paneer,Main Course,40.97,"Spinach, Paneer, Spices",True,Medium
REST-AUH-001,ITEM-204,Malai Kofta,Main Course,44.39,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-AUH-001,ITEM-205,Chole Bhature,Main Course,39.06,"Chickpeas, Fried Bread, Spices",True,Medium
REST-AUH-001,ITEM-301,Butter Chicken,Main Course,53.4,"Chicken, Tomato, Butter, Cream",False,Mild
REST-AUH-001,ITEM-302,Chicken Tikka Masala,Main Course,48.05,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-AUH-001,ITEM-303,Lamb Rogan Josh,Main Course,64.58,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-AUH-001,ITEM-304,Fish Curry,Main Course,52.54,"Fish, Coconut, Curry Leaves",False,Hot
REST-AUH-001,ITEM-305,Chicken Biryani,Main Course,47.19,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-AUH-001,ITEM-401,Naan,Bread,8.2,"Flour, Yogurt, Yeast",True,None
REST-AUH-001,ITEM-402,Garlic Naan,Bread,9.91,"Flour, Garlic, Butter",True,None
REST-AUH-001,ITEM-403,Butter Naan,Bread,9.13,"Flour, Butter, Milk",True,None
REST-AUH-001,ITEM-404,Tandoori Roti,Bread,6.13,Whole Wheat Flour,True,None
REST-AUH-001,ITEM-405,Jeera Rice,Rice,17.46,"Basmati Rice, Cumin Seeds",True,None
REST-AUH-001,ITEM-406,Vegetable Biryani,Rice,43.13,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-AUH-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.74,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-AUH-001,ITEM-502,Rasmalai (2 pcs),Dessert,18.68,"Cottage Cheese, Milk, Saffron",True,None
REST-AUH-001,ITEM-503,Kulfi,Dessert,20.41,"Milk, Cardamom, Pistachios",True,None
REST-AUH-001,ITEM-504,Gajar Halwa,Dessert,21.05,"Carrot, Milk, Ghee, Sugar",True,None
REST-AUH-001,ITEM-601,Masala Chai,Beverage,11.72,"Tea, Milk, Spices",True,None
REST-AUH-001,ITEM-602,Mango Lassi,Beverage,17.89,"Mango, Yogurt, Sugar",True,None
REST-AUH-001,ITEM-603,Sweet Lassi,Beverage,14.41,"Yogurt, Sugar, Cardamom",True,None
REST-AUH-001,ITEM-604,Fresh Lime Soda,Beverage,11.78,"Lime, Soda, Salt/Sugar",True,None
REST-AUH-002,ITEM-101,Samosa (2 pcs),Starter,17.72,"Potato, Peas, Spices, Pastry",True,Medium
REST-AUH-002,ITEM-102,Paneer Tikka,Starter,35.24,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-AUH-002,ITEM-103,Chicken 65,Starter,39.2,"Chicken, Curry Leaves, Spices",False,Hot
REST-AUH-002,ITEM-104,Aloo Tikki Chaat,Starter,22.84,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-AUH-002,ITEM-105,Chicken Seekh Kebab,Starter,41.91,"Minced Chicken, Spices, Onion",False,Medium
REST-AUH-002,ITEM-201,Paneer Butter Masala,Main Course,45.07,"Paneer, Tomato, Cream, Butter",True,Mild
REST-AUH-002,ITEM-202,Dal Makhani,Main Course,36.8,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-AUH-002,ITEM-203,Palak Paneer,Main Course,43.8,"Spinach, Paneer, Spices",True,Medium
REST-AUH-002,ITEM-204,Malai Kofta,Main Course,45.37,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-AUH-002,ITEM-205,Chole Bhature,Main Course,38.51,"Chickpeas, Fried Bread, Spices",True,Medium
REST-AUH-002,ITEM-301,Butter Chicken,Main Course,49.51,"Chicken, Tomato, Butter, Cream",False,Mild
REST-AUH-002,ITEM-302,Chicken Tikka Masala,Main Course,51.9,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-AUH-002,ITEM-303,Lamb Rogan Josh,Main Course,62.58,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-AUH-002,ITEM-304,Fish Curry,Main Course,57.21,"Fish, Coconut, Curry Leaves",False,Hot
REST-AUH-002,ITEM-305,Chicken Biryani,Main Course,47.71,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-AUH-002,ITEM-401,Naan,Bread,7.82,"Flour, Yogurt, Yeast",True,None
REST-AUH-002,ITEM-402,Garlic Naan,Bread,9.61,"Flour, Garlic, Butter",True,None
REST-AUH-002,ITEM-403,Butter Naan,Bread,9.39,"Flour, Butter, Milk",True,None
REST-AUH-002,ITEM-404,Tandoori Roti,Bread,5.86,Whole Wheat Flour,True,None
REST-AUH-002,ITEM-405,Jeera Rice,Rice,17.79,"Basmati Rice, Cumin Seeds",True,None
REST-AUH-002,ITEM-406,Vegetable Biryani,Rice,40.54,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-AUH-002,ITEM-501,Gulab Jamun (2 pcs),Dessert,15.18,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-AUH-002,ITEM-502,Rasmalai (2 pcs),Dessert,17.27,"Cottage Cheese, Milk, Saffron",True,None
REST-AUH-002,ITEM-503,Kulfi,Dessert,20.58,"Milk, Cardamom, Pistachios",True,None
REST-AUH-002,ITEM-504,Gajar Halwa,Dessert,22.58,"Carrot, Milk, Ghee, Sugar",True,None
REST-AUH-002,ITEM-601,Masala Chai,Beverage,11.81,"Tea, Milk, Spices",True,None
REST-AUH-002,ITEM-602,Mango Lassi,Beverage,18.27,"Mango, Yogurt, Sugar",True,None
REST-AUH-002,ITEM-603,Sweet Lassi,Beverage,15.06,"Yogurt, Sugar, Cardamom",True,None
REST-AUH-002,ITEM-604,Fresh Lime Soda,Beverage,11.9,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-001,ITEM-101,Samosa (2 pcs),Starter,18.13,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-001,ITEM-102,Paneer Tikka,Starter,33.44,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-001,ITEM-103,Chicken 65,Starter,39.52,"Chicken, Curry Leaves, Spices",False,Hot
REST-DXB-001,ITEM-104,Aloo Tikki Chaat,Starter,22.96,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-001,ITEM-105,Chicken Seekh Kebab,Starter,40.88,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-001,ITEM-201,Paneer Butter Masala,Main Course,45.95,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-001,ITEM-202,Dal Makhani,Main Course,39.3,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-001,ITEM-203,Palak Paneer,Main Course,41.3,"Spinach, Paneer, Spices",True,Medium
REST-DXB-001,ITEM-204,Malai Kofta,Main Course,44.3,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DXB-001,ITEM-205,Chole Bhature,Main Course,38.55,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DXB-001,ITEM-301,Butter Chicken,Main Course,54.53,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DXB-001,ITEM-302,Chicken Tikka Masala,Main Course,48.32,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DXB-001,ITEM-303,Lamb Rogan Josh,Main Course,64.91,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DXB-001,ITEM-304,Fish Curry,Main Course,54.29,"Fish, Coconut, Curry Leaves",False,Hot
REST-DXB-001,ITEM-305,Chicken Biryani,Main Course,46.02,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DXB-001,ITEM-401,Naan,Bread,8.04,"Flour, Yogurt, Yeast",True,None
REST-DXB-001,ITEM-402,Garlic Naan,Bread,9.82,"Flour, Garlic, Butter",True,None
REST-DXB-001,ITEM-403,Butter Naan,Bread,9.43,"Flour, Butter, Milk",True,None
REST-DXB-001,ITEM-404,Tandoori Roti,Bread,6.15,Whole Wheat Flour,True,None
REST-DXB-001,ITEM-405,Jeera Rice,Rice,17.94,"Basmati Rice, Cumin Seeds",True,None
REST-DXB-001,ITEM-406,Vegetable Biryani,Rice,40.95,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DXB-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.86,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DXB-001,ITEM-502,Rasmalai (2 pcs),Dessert,17.61,"Cottage Cheese, Milk, Saffron",True,None
REST-DXB-001,ITEM-503,Kulfi,Dessert,19.9,"Milk, Cardamom, Pistachios",True,None
REST-DXB-001,ITEM-504,Gajar Halwa,Dessert,21.18,"Carrot, Milk, Ghee, Sugar",True,None
REST-DXB-001,ITEM-601,Masala Chai,Beverage,11.52,"Tea, Milk, Spices",True,None
REST-DXB-001,ITEM-602,Mango Lassi,Beverage,18.8,"Mango, Yogurt, Sugar",True,None
REST-DXB-001,ITEM-603,Sweet Lassi,Beverage,14.49,"Yogurt, Sugar, Cardamom",True,None
REST-DXB-001,ITEM-604,Fresh Lime Soda,Beverage,12.33,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-002,ITEM-101,Samosa (2 pcs),Starter,17.82,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-002,ITEM-102,Paneer Tikka,Starter,33.35,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-002,ITEM-103,Chicken 65,Starter,38.72,"Chicken, Curry Leaves, Spices",False,Hot
REST-DXB-002,ITEM-104,Aloo Tikki Chaat,Starter,22.4,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DXB-002,ITEM-105,Chicken Seekh Kebab,Starter,40.58,"Minced Chicken, Spices, Onion",False,Medium
REST-DXB-002,ITEM-201,Paneer Butter Masala,Main Course,43.01,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DXB-002,ITEM-202,Dal Makhani,Main Course,37.55,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DXB-002,ITEM-203,Palak Paneer,Main Course,41.34,"Spinach, Paneer, Spices",True,Medium
REST-DXB-002,ITEM-204,Malai Kofta,Main Course,45.96,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DXB-002,ITEM-205,Chole Bhature,Main Course,38.62,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DXB-002,ITEM-301,Butter Chicken,Main Course,53.0,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DXB-002,ITEM-302,Chicken Tikka Masala,Main Course,50.78,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DXB-002,ITEM-303,Lamb Rogan Josh,Main Course,64.36,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DXB-002,ITEM-304,Fish Curry,Main Course,57.49,"Fish, Coconut, Curry Leaves",False,Hot
REST-DXB-002,ITEM-305,Chicken Biryani,Main Course,47.02,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DXB-002,ITEM-401,Naan,Bread,7.7,"Flour, Yogurt, Yeast",True,None
REST-DXB-002,ITEM-402,Garlic Naan,Bread,9.79,"Flour, Garlic, Butter",True,None
REST-DXB-002,ITEM-403,Butter Naan,Bread,9.25,"Flour, Butter, Milk",True,None
REST-DXB-002,ITEM-404,Tandoori Roti,Bread,5.73,Whole Wheat Flour,True,None
REST-DXB-002,ITEM-405,Jeera Rice,Rice,17.68,"Basmati Rice, Cumin Seeds",True,None
REST-DXB-002,ITEM-406,Vegetable Biryani,Rice,42.54,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DXB-002,ITEM-501,Gulab Jamun (2 pcs),Dessert,15.09,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DXB-002,ITEM-502,Rasmalai (2 pcs),Dessert,17.3,"Cottage Cheese, Milk, Saffron",True,None
REST-DXB-002,ITEM-503,Kulfi,Dessert,19.2,"Milk, Cardamom, Pistachios",True,None
REST-DXB-002,ITEM-504,Gajar Halwa,Dessert,21.9,"Carrot, Milk, Ghee, Sugar",True,None
REST-DXB-002,ITEM-601,Masala Chai,Beverage,12.57,"Tea, Milk, Spices",True,None
REST-DXB-002,ITEM-602,Mango Lassi,Beverage,17.57,"Mango, Yogurt, Sugar",True,None
REST-DXB-002,ITEM-603,Sweet Lassi,Beverage,14.65,"Yogurt, Sugar, Cardamom",True,None
REST-DXB-002,ITEM-604,Fresh Lime Soda,Beverage,12.49,"Lime, Soda, Salt/Sugar",True,None
REST-SHJ-001,ITEM-101,Samosa (2 pcs),Starter,17.49,"Potato, Peas, Spices, Pastry",True,Medium
REST-SHJ-001,ITEM-102,Paneer Tikka,Starter,36.47,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-SHJ-001,ITEM-103,Chicken 65,Starter,37.2,"Chicken, Curry Leaves, Spices",False,Hot
REST-SHJ-001,ITEM-104,Aloo Tikki Chaat,Starter,21.93,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-SHJ-001,ITEM-105,Chicken Seekh Kebab,Starter,43.09,"Minced Chicken, Spices, Onion",False,Medium
REST-SHJ-001,ITEM-201,Paneer Butter Masala,Main Course,46.83,"Paneer, Tomato, Cream, Butter",True,Mild
REST-SHJ-001,ITEM-202,Dal Makhani,Main Course,38.0,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-SHJ-001,ITEM-203,Palak Paneer,Main Course,43.68,"Spinach, Paneer, Spices",True,Medium
REST-SHJ-001,ITEM-204,Malai Kofta,Main Course,45.19,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-SHJ-001,ITEM-205,Chole Bhature,Main Course,41.94,"Chickpeas, Fried Bread, Spices",True,Medium
REST-SHJ-001,ITEM-301,Butter Chicken,Main Course,52.55,"Chicken, Tomato, Butter, Cream",False,Mild
REST-SHJ-001,ITEM-302,Chicken Tikka Masala,Main Course,47.51,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-SHJ-001,ITEM-303,Lamb Rogan Josh,Main Course,66.22,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-SHJ-001,ITEM-304,Fish Curry,Main Course,52.87,"Fish, Coconut, Curry Leaves",False,Hot
REST-SHJ-001,ITEM-305,Chicken Biryani,Main Course,48.79,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-SHJ-001,ITEM-401,Naan,Bread,8.29,"Flour, Yogurt, Yeast",True,None
REST-SHJ-001,ITEM-402,Garlic Naan,Bread,9.93,"Flour, Garlic, Butter",True,None
REST-SHJ-001,ITEM-403,Butter Naan,Bread,8.88,"Flour, Butter, Milk",True,None
REST-SHJ-001,ITEM-404,Tandoori Roti,Bread,5.99,Whole Wheat Flour,True,None
REST-SHJ-001,ITEM-405,Jeera Rice,Rice,17.16,"Basmati Rice, Cumin Seeds",True,None
REST-SHJ-001,ITEM-406,Vegetable Biryani,Rice,43.75,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-SHJ-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.31,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-SHJ-001,ITEM-502,Rasmalai (2 pcs),Dessert,17.78,"Cottage Cheese, Milk, Saffron",True,None
REST-SHJ-001,ITEM-503,Kulfi,Dessert,20.45,"Milk, Cardamom, Pistachios",True,None
REST-SHJ-001,ITEM-504,Gajar Halwa,Dessert,22.78,"Carrot, Milk, Ghee, Sugar",True,None
REST-SHJ-001,ITEM-601,Masala Chai,Beverage,11.72,"Tea, Milk, Spices",True,None
REST-SHJ-001,ITEM-602,Mango Lassi,Beverage,18.64,"Mango, Yogurt, Sugar",True,None
REST-SHJ-001,ITEM-603,Sweet Lassi,Beverage,15.71,"Yogurt, Sugar, Cardamom",True,None
REST-SHJ-001,ITEM-604,Fresh Lime Soda,Beverage,11.66,"Lime, Soda, Salt/Sugar",True,None
