review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000002,ORD-20250902-867781,CUST-10050,REST-AUH-001,Not bad  not great. Lamb Rogan Josh were edible. Lamb Rogan Josh needed more seasoning.,3,2025-09-04T12:02:48.407466
REV-000003,ORD-20250902-797381,CUST-10162,REST-DXB-002,Wow! Just wow! Aloo Tikki Chaat  Butter Chicken  Palak Paneer  Butter Naan  and Lamb Rogan Josh were all fantastic. Lamb Rogan Josh was particularly memorable. Can't wait to order again!,5,2025-09-04T15:34:32.407466
REV-000004,ORD-20250905-542441,CUST-10413,REST-SHJ-001,Wow! Just wow! Chicken Tikka Masala  Chicken Seekh Kebab  Paneer Butter Masala  and Gulab Jamun (2 pcs) were all fantastic. Chicken Tikka Masala was particularly memorable. Can't wait to order again!,5,2025-09-07T10:03:45.407466
REV-000001,ORD-20250901-620320,CUST-10092,REST-SHJ-001,Absolutely amazing Chicken Biryani  Kulfi  Paneer Butter Masala  Vegetable Biryani  and Butter Chicken! The Butter Chicken was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-09-07T12:32:26.407466
REV-000005,ORD-20250905-548666,CUST-10055,REST-AUH-002,Perfect in every way! Tandoori Roti were all excellent. Tandoori Roti stood out with its rich  authentic taste.,5,2025-09-11T16:20:07.407466
REV-000006,ORD-20250910-548542,CUST-10414,REST-AUH-001,Very satisfied! Tandoori Roti were fresh and flavorful. Tandoori Roti was the standout dish.,4,2025-09-15T19:40:59.407466
REV-000007,ORD-20250911-827556,CUST-10160,REST-DXB-002,Hands down the best Malai Kofta I've ever had! Paneer Tikka  Malai Kofta  Rasmalai (2 pcs)  Samosa (2 pcs)  and Chicken Biryani were all prepared beautifully. Fresh and flavorful!,5,2025-09-15T21:35:24.407466
REV-000008,ORD-20250915-404040,CUST-10358,REST-AUH-001,Average experience. Sweet Lassi  Naan  Malai Kofta  and Butter Chicken were fine but Sweet Lassi was a bit bland. Room for improvement.,3,2025-09-19T20:27:14.407466
REV-000009,ORD-20250922-545694,CUST-10399,REST-AUH-001,Exceptional quality! Ordered Kulfi and everything was delicious. The Kulfi melted in my mouth. Perfect!,5,2025-09-27T19:43:01.407466
REV-000011,ORD-20250925-773385,CUST-10499,REST-DXB-002,Incredible meal! Malai Kofta  Chicken Tikka Masala  and Aloo Tikki Chaat arrived hot and fresh. The Malai Kofta was absolutely divine. Highly satisfied!,5,2025-09-28T12:02:03.407466
