order_id,timestamp,restaurant_id,customer_id,order_type,items,total_amount,payment_method,order_status,created_at
ORD-20250831-416268,2025-08-31T10:00:14.407466,REST-DXB-001,CUST-10426,delivery,"[{""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 3, ""unit_price"": 17.94, ""subtotal"": 53.82}, {""item_id"": ""ITEM-302"", ""name"": ""Chicken Tikka Masala"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 48.32, ""subtotal"": 144.96}, {""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 54.53, ""subtotal"": 109.06}, {""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 33.44, ""subtotal"": 66.88}]",374.72,card,completed,2025-08-31T10:00:14.407466
ORD-20250831-905791,2025-08-31T11:01:04.407466,REST-DXB-002,CUST-10346,delivery,"[{""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 22.4, ""subtotal"": 22.4}, {""item_id"": ""ITEM-304"", ""name"": ""Fish Curry"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 57.49, ""subtotal"": 114.98}]",137.38,cash,completed,2025-08-31T11:01:04.407466
ORD-20250831-299467,2025-08-31T11:03:00.407466,REST-DXB-002,CUST-10409,delivery,"[{""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 3, ""unit_price"": 17.68, ""subtotal"": 53.04}, {""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 9.25, ""subtotal"": 27.75}, {""item_id"": ""ITEM-105"", ""name"": ""Chicken Seekh Kebab"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 40.58, ""subtotal"": 40.58}, {""item_id"": ""ITEM-602"", ""name"": ""Mango Lassi"", ""category"": ""Beverage"", ""quantity"": 1, ""unit_price"": 17.57, ""subtotal"": 17.57}]",138.94,cash,delivered,2025-08-31T11:03:00.407466
ORD-20250831-307847,2025-08-31T11:06:56.407466,REST-DXB-001,CUST-10438,dine_in,"[{""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 18.13, ""subtotal"": 36.26}, {""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 1, ""unit_price"": 17.94, ""subtotal"": 17.94}, {""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 45.95, ""subtotal"": 91.9}, {""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 14.86, ""subtotal"": 29.72}, {""item_id"": ""ITEM-204"", ""name"": ""Malai Kofta"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 44.3, ""subtotal"": 44.3}]",220.12,cash,delivered,2025-08-31T11:06:56.407466
ORD-20250831-154587,2025-08-31T11:15:28.407466,REST-DXB-001,CUST-10119,takeaway,"[{""item_id"": ""ITEM-105"", ""name"": ""Chicken Seekh Kebab"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 40.88, ""subtotal"": 40.88}, {""item_id"": ""ITEM-204"", ""name"": ""Malai Kofta"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 44.3, ""subtotal"": 44.3}]",85.18,cash,completed,2025-08-31T11:15:28.407466
ORD-20250831-568428,2025-08-31T11:23:43.407466,REST-DXB-002,CUST-10273,takeaway,"[{""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 15.09, ""subtotal"": 30.18}, {""item_id"": ""ITEM-502"", ""name"": ""Rasmalai (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 17.3, ""subtotal"": 17.3}]",47.48,card,delivered,2025-08-31T11:23:43.407466
ORD-20250831-995624,2025-08-31T11:24:11.407466,REST-AUH-001,CUST-10436,delivery,"[{""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 20.41, ""subtotal"": 61.23}]",61.23,cash,completed,2025-08-31T11:24:11.407466
ORD-20250831-956856,2025-08-31T12:23:56.407466,REST-SHJ-001,CUST-10056,dine_in,"[{""item_id"": ""ITEM-603"", ""name"": ""Sweet Lassi"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 15.71, ""subtotal"": 31.42}, {""item_id"": ""ITEM-602"", ""name"": ""Mango Lassi"", ""category"": ""Beverage"", ""quantity"": 1, ""unit_price"": 18.64, ""subtotal"": 18.64}, {""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 36.47, ""subtotal"": 109.41}]",159.47,wallet,delivered,2025-08-31T12:23:56.407466
ORD-20250831-461755,2025-08-31T12:35:13.407466,REST-DXB-001,CUST-10056,takeaway,"[{""item_id"": ""ITEM-601"", ""name"": ""Masala Chai"", ""category"": ""Beverage"", ""quantity"": 1, ""unit_price"": 11.52, ""subtotal"": 11.52}, {""item_id"": ""ITEM-103"", ""name"": ""Chicken 65"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 39.52, ""subtotal"": 118.56}, {""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 54.53, ""subtotal"": 163.59}]",293.67,cash,completed,2025-08-31T12:35:13.407466
ORD-20250831-130725,2025-08-31T12:49:18.407466,REST-AUH-002,CUST-10368,takeaway,"[{""item_id"": ""ITEM-406"", ""name"": ""Vegetable Biryani"", ""category"": ""Rice"", ""quantity"": 2, ""unit_price"": 40.54, ""subtotal"": 81.08}, {""item_id"": ""ITEM-302"", ""name"": ""Chicken Tikka Masala"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 51.9, ""subtotal"": 155.7}, {""item_id"": ""ITEM-504"", ""name"": ""Gajar Halwa"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 22.58, ""subtotal"": 45.16}, {""item_id"": ""ITEM-303"", ""name"": ""Lamb Rogan Josh"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 62.58, ""subtotal"": 62.58}]",344.52,cash,delivered,2025-08-31T12:49:18.407466
ORD-20250831-481455,2025-08-31T12:50:15.407466,REST-DXB-001,CUST-10048,takeaway,"[{""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 1, ""unit_price"": 17.94, ""subtotal"": 17.94}, {""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 45.95, ""subtotal"": 45.95}]",63.89,card,delivered,2025-08-31T12:50:15.407466
ORD-20250831-420953,2025-08-31T13:15:42.407466,REST-DXB-002,CUST-10462,delivery,"[{""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 9.25, ""subtotal"": 9.25}, {""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 17.82, ""subtotal"": 17.82}, {""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 43.01, ""subtotal"": 43.01}, {""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 2, ""unit_price"": 17.68, ""subtotal"": 35.36}, {""item_id"": ""ITEM-502"", ""name"": ""Rasmalai (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 17.3, ""subtotal"": 51.9}]",157.34,card,completed,2025-08-31T13:15:42.407466
ORD-20250831-119001,2025-08-31T13:32:54.407466,REST-AUH-001,CUST-10224,takeaway,"[{""item_id"": ""ITEM-604"", ""name"": ""Fresh Lime Soda"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 11.78, ""subtotal"": 23.56}]",23.56,card,delivered,2025-08-31T13:32:54.407466
ORD-20250831-989066,2025-08-31T13:38:30.407466,REST-DXB-001,CUST-10180,takeaway,"[{""item_id"": ""ITEM-602"", ""name"": ""Mango Lassi"", ""category"": ""Beverage"", ""quantity"": 1, ""unit_price"": 18.8, ""subtotal"": 18.8}, {""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 22.96, ""subtotal"": 22.96}, {""item_id"": ""ITEM-203"", ""name"": ""Palak Paneer"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 41.3, ""subtotal"": 82.6}, {""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 18.13, ""subtotal"": 36.26}]",160.62,wallet,delivered,2025-08-31T13:38:30.407466
ORD-20250831-685929,2025-08-31T14:22:53.407466,REST-AUH-001,CUST-10076,takeaway,"[{""item_id"": ""ITEM-304"", ""name"": ""Fish Curry"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 52.54, ""subtotal"": 52.54}]",52.54,cash,completed,2025-08-31T14:22:53.407466
ORD-20250831-528187,2025-08-31T14:30:57.407466,REST-SHJ-001,CUST-10112,dine_in,"[{""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 8.29, ""subtotal"": 8.29}, {""item_id"": ""ITEM-404"", ""name"": ""Tandoori Roti"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 5.99, ""subtotal"": 17.97}, {""item_id"": ""ITEM-205"", ""name"": ""Chole Bhature"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 41.94, ""subtotal"": 83.88}, {""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 46.83, ""subtotal"": 140.49}]",250.63,card,delivered,2025-08-31T14:30:57.407466
